sample_ID	province	Latitude	Longitude	health zone
kinking100038	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100042	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100044	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100045	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100046	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100047	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100052	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100054	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100055	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100056	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100059	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100062	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100064	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100065	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100066	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100067	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100068	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100069	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100070	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100071	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100073	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100075	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100079	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100080	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100081	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100082	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100083	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100084	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100085	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100095	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100096	Kinshasa	-4.4103963	15.411396	Kingasani
